Accession2,gene,totalCount,CountX,CountY,meanX,meanY,type,comparison,log10X,log10Y
MMAR_3961,acpS,14,9,5,988.022038888889,1009.281534,Cell Associated,∆eccCb1,2.99476663209884,3.00401232739446
MMAR_3962,fas,15,9,6,188158.466666667,114449.342333333,Cell Associated,∆eccCb1,5.27452376527551,5.05861330140702
MMAR_3963,MMAR_3963,12,6,6,5188.791385,2684.48736,Cell Associated,∆eccCb1,3.71506621026621,3.42886136341374
MMAR_3964,MMAR_3964,6,4,2,389.931135,1472.18585,Cell Associated,∆eccCb1,2.59098791387186,3.16796263916899
MMAR_3965,MMAR_3965,15,9,6,15849.2545,8389.45848333333,Cell Associated,∆eccCb1,4.20000883916256,3.92373392920891
MMAR_3966,maoC,6,3,3,231.09401,166.682193333333,Cell Associated,∆eccCb1,2.36378868863073,2.22188920660583
MMAR_3967,MMAR_3967,12,9,3,215.619774888889,295.379846666667,Cell Associated,∆eccCb1,2.33368858829251,2.47038086071176
MMAR_3968,MMAR_3968,15,9,6,13087.1912222222,12125.0139,Cell Associated,∆eccCb1,4.11684644811062,4.08368224514563
MMAR_3972,MMAR_3972,6,3,3,858.87314,1147.33016666667,Cell Associated,∆eccCb1,2.93392902102955,3.05968841260736
MMAR_3974,MMAR_3974,15,9,6,2175.86045111111,2478.64606666667,Cell Associated,∆eccCb1,3.33763103842696,3.39421451697857
MMAR_3975,MMAR_3975,15,9,6,7958.50347777778,6979.02248333333,Cell Associated,∆eccCb1,3.9008314103952,3.8437945974335
MMAR_3976,cyp138A4,12,6,6,1267.94999166667,1037.143265,Cell Associated,∆eccCb1,3.10310212517702,3.01583875147241
MMAR_3978,MMAR_3978,6,3,3,1202.95313333333,186.75022,Cell Associated,∆eccCb1,3.08024870769628,2.2712611221058
MMAR_3980,MMAR_3980,6,3,3,181.45836,87.6275933333333,Cell Associated,∆eccCb1,2.25877698145491,1.94264088408388
MMAR_3981,fadE17_2,3,3,0,2370.5433,NA,Cell Associated,∆eccCb1,3.37484789248742,0
MMAR_3982,MMAR_3982,6,3,3,197.713683333333,154.925206666667,Cell Associated,∆eccCb1,2.29603672692884,2.19012208416096
MMAR_3985,MMAR_3985,3,3,0,413.297003333333,NA,Cell Associated,∆eccCb1,2.61626225638136,0
MMAR_3987,MMAR_3987,13,9,4,2005.51259333333,5204.095885,Cell Associated,∆eccCb1,3.30222539341714,3.71634528980015
MMAR_3988,MMAR_3988,6,3,3,185.94992,153.395746666667,Cell Associated,∆eccCb1,2.2693959958514,2.18581331773027
MMAR_3989,PPE2,9,6,3,830.41199,313.475456666667,Cell Associated,∆eccCb1,2.91929361116099,2.49620354372656
MMAR_3991,rsbU,15,9,6,4328.30494,1454.51555,Cell Associated,∆eccCb1,3.63631785031803,3.1627183685828
MMAR_3992,MMAR_3992,15,9,6,1175.81388555556,2148.952355,Cell Associated,∆eccCb1,3.07033858460332,3.33222678673855
MMAR_3993,MMAR_3993,11,6,5,234.442545,104.776449,Cell Associated,∆eccCb1,2.3700364272355,2.02026367559849
MMAR_3994,MMAR_3994,15,9,6,5656.95143333333,2420.66088333333,Cell Associated,∆eccCb1,3.75258245020481,3.38393395226175
MMAR_3995,MMAR_3995,6,3,3,677.187026666667,551.24802,Cell Associated,∆eccCb1,2.83070862944126,2.74134704255822
MMAR_3996,cyp187A4,15,9,6,781.618802222222,234.866119166667,Cell Associated,∆eccCb1,2.89299499800235,2.37082037173624
MMAR_3997,adhB_1,6,3,3,5934.95233333333,6010.46783333333,Cell Associated,∆eccCb1,3.77341723526139,3.7789082772486
MMAR_4000,accD4_2,15,9,6,488.186755,702.301841666667,Cell Associated,∆eccCb1,2.68858599239284,2.84652380728091
MMAR_4001,MMAR_4001,9,6,3,157.270706,232.779573333333,Cell Associated,∆eccCb1,2.19664783637198,2.36694486782564
MMAR_4013,MMAR_4013,6,3,3,3420.72833333333,6653.05156666667,Cell Associated,∆eccCb1,3.53411858484887,3.82302088960147
MMAR_4014,MMAR_4014,9,6,3,802.436351666667,591.219063333333,Cell Associated,∆eccCb1,2.90441059470159,2.77174842905219
MMAR_4015,echA12_1,12,6,6,187.574075,279.0436,Cell Associated,∆eccCb1,2.27317281345414,2.4456720662128
MMAR_4017,MMAR_4017,9,6,3,2730.87646666667,6065.6786,Cell Associated,∆eccCb1,3.43630205493343,3.78287939477378
MMAR_4019,MMAR_4019,15,9,6,2462.53661,5756.53955333333,Cell Associated,∆eccCb1,3.39138269577992,3.76016149305705
MMAR_4024,echA16_1,9,6,3,265.494973333333,214.25217,Cell Associated,∆eccCb1,2.42405630291556,2.33092522926153
MMAR_4026,fadD35_1,6,3,3,293.82111,181.802266666667,Cell Associated,∆eccCb1,2.46808299508651,2.25959929359821
MMAR_4027,MMAR_4027,6,3,3,8542.701,3420.28976666667,Cell Associated,∆eccCb1,3.93159520604427,3.53406290100744
MMAR_4029,MMAR_4029,9,6,3,684.822193333333,225.41328,Cell Associated,∆eccCb1,2.83557782626901,2.35297949849281
MMAR_4030,MMAR_4030,15,9,6,6981.03213333333,4039.94648333333,Cell Associated,∆eccCb1,3.84391963704625,3.60637561210393
MMAR_4031,MMAR_4031,15,9,6,1689.22510666667,1912.5922,Cell Associated,∆eccCb1,3.22768752764617,3.28162238028896
MMAR_4032,MMAR_4032,15,9,6,6093.50894777778,1168.93384333333,Cell Associated,∆eccCb1,3.78486745319103,3.06778993264319
MMAR_4033,fab,15,9,6,4476.92355555556,2753.23366666667,Cell Associated,∆eccCb1,3.65097967877392,3.43984307148687
MMAR_4034,fadE,15,9,6,1780.21799555556,1769.867515,Cell Associated,∆eccCb1,3.25047318684259,3.24794075808051
MMAR_4036,MMAR_4036,12,9,3,1023.20127622222,1140.2758,Cell Associated,∆eccCb1,3.00996107315934,3.0570099074167
MMAR_4037,MMAR_4037,15,9,6,3999.37478333333,3358.8305725,Cell Associated,∆eccCb1,3.6019921039852,3.52618809753499
MMAR_4039,MMAR_4039,15,9,6,2219.76497777778,1534.94328333333,Cell Associated,∆eccCb1,3.3463069950554,3.18609233278361
MMAR_4040,MMAR_4040,15,9,6,8150.15219444444,7327.68720666667,Cell Associated,∆eccCb1,3.91116571875105,3.86496692254326
MMAR_4041,MMAR_4041,15,9,6,962.888314444444,358.149171666667,Cell Associated,∆eccCb1,2.98357591616566,2.55406395105233
MMAR_4042,rphA,15,9,6,33988.3965555556,27289.6433333333,Cell Associated,∆eccCb1,4.53133067668956,4.43599785962089
MMAR_4043,MMAR_4043,15,9,6,9890.0528,15059.9998333333,Cell Associated,∆eccCb1,3.99519861017023,4.17782496705841
MMAR_4045,MMAR_4045,11,6,5,684.428093333333,674.113074,Cell Associated,∆eccCb1,2.8353278274752,2.82873275008939
MMAR_4046,aceE_1,15,9,6,7648.60462222222,2091.39376666667,Cell Associated,∆eccCb1,3.88358221160537,3.32043580928375
MMAR_4047,MMAR_4047,3,3,0,589.336366666667,NA,Cell Associated,∆eccCb1,2.77036324129088,0
MMAR_4048,MMAR_4048,9,6,3,182.7608675,117.415641666667,Cell Associated,∆eccCb1,2.26188321082801,2.06972595583005
MMAR_4052,mce3B_1,6,3,3,104.206819666667,377.256713333333,Cell Associated,∆eccCb1,2.01789614167642,2.57663697684439
MMAR_4053,mce3C_1,11,6,5,743.2882,1177.028121,Cell Associated,∆eccCb1,2.87115723825759,3.07078683892605
MMAR_4054,mce3D_1,15,9,6,5893.69,9393.1185,Cell Associated,∆eccCb1,3.77038728882133,3.97280980126466
MMAR_4055,lprM_1,6,3,3,368.484596666667,203.169263333333,Cell Associated,∆eccCb1,2.56641933826702,2.30785800590315
