Accession2,gene,totalCount,CountX,CountY,meanX,meanY,type,comparison,log10X,log10Y
MMAR_0002,dnaN,15,9,6,29003.6328,115240.568333333,Secreted,∆eccCb1,4.46245239811218,5.06160539142911
MMAR_0003,recF,9,3,6,77.9305416666667,141.732568166667,Secreted,∆eccCb1,1.89170769487163,2.15146965652747
MMAR_0005,gyrB,15,9,6,1122.88719555556,2632.96713333333,Secreted,∆eccCb1,3.05033612953978,3.42044543795109
MMAR_0006,gyrA,15,9,6,955.245867777778,6700.35226666667,Secreted,∆eccCb1,2.98011516768451,3.82609763605125
MMAR_0009,MMAR_0009,6,3,3,179.89955,154.271861333333,Secreted,∆eccCb1,2.25503007700447,2.18828671943917
MMAR_0010,MMAR_0010,15,9,6,807.634818444444,1869.48632333333,Secreted,∆eccCb1,2.90721503381337,3.27172229231849
MMAR_0011,ppiA,15,9,6,164700.249555556,488647.086666667,Secreted,∆eccCb1,5.21669425721783,5.68899531383309
MMAR_0015,trpG,6,3,3,80.854109,736.96358,Secreted,∆eccCb1,1.90770209561757,2.86744602599222
MMAR_0020,pstP,15,9,6,1821.32305555556,5461.48571666667,Secreted,∆eccCb1,3.26038698522462,3.73731080218793
MMAR_0021,MMAR_0021,6,3,3,510.605883333333,161.126736666667,Secreted,∆eccCb1,2.70808581455065,2.2071676113277
MMAR_0022,MMAR_0022,15,9,6,7726.61254444444,40967.7803333333,Secreted,∆eccCb1,3.88798913483741,4.61244243417283
MMAR_0025,MMAR_0025,6,3,3,368.700173333333,1729.82063333333,Secreted,∆eccCb1,2.5666733417767,3.23800107307557
MMAR_0026,MMAR_0026,3,0,3,NA,89.1982366666667,Secreted,∆eccCb1,0,1.95035626902292
MMAR_0030,MMAR_0030,3,0,3,NA,297.30128,Secreted,∆eccCb1,0,2.47319677901907
MMAR_0036,MMAR_0036,15,9,6,8086.49181111111,31932.087,Secreted,∆eccCb1,3.9077601510907,4.50422730384994
MMAR_0039,MMAR_0039,15,9,6,2172.00501111111,7637.72993333333,Secreted,∆eccCb1,3.33686082289443,3.88296429785287
MMAR_0040,MMAR_0040,9,3,6,83.0566133333333,124.960307666667,Secreted,∆eccCb1,1.91937421860348,2.09677208581757
MMAR_0051,MMAR_0051,15,9,6,520.327922222222,2925.76363333333,Secreted,∆eccCb1,2.71627713195342,3.46623923741285
MMAR_0056,mtc28,15,9,6,6807.08165555556,23675.0953333333,Secreted,∆eccCb1,3.83296096029235,4.37429173646759
MMAR_0057,leuS,15,9,6,6239.08784444444,19146.5261666667,Secreted,∆eccCb1,3.7951211004066,4.28208998961006
MMAR_0058,MMAR_0058,12,6,6,700.43895,3372.54521666667,Secreted,∆eccCb1,2.84537028832479,3.52795778109181
MMAR_0062,MMAR_0062,9,6,3,2365.926965,1210.1243,Secreted,∆eccCb1,3.3740013340421,3.08282998191276
MMAR_0063,MMAR_0063,15,9,6,2622.54553,4630.29868333333,Secreted,∆eccCb1,3.4187230367154,3.66560900664207
MMAR_0064,MMAR_0064,15,9,6,452.566829444444,200.871091666667,Secreted,∆eccCb1,2.655682719488,2.30291743981938
MMAR_0065,ino1,15,9,6,5019.50112222222,21277.8801666667,Secreted,∆eccCb1,3.70066055566447,4.32792835868987
MMAR_0071,MMAR_0071,15,9,6,2482.11421111111,8980.81163333333,Secreted,∆eccCb1,3.39482176109266,3.9533155874412
MMAR_0072,rpsF,15,9,6,19131.1658888889,7568.62758333333,Secreted,∆eccCb1,4.28174143754857,3.87901713616835
MMAR_0073,ssb,15,9,6,26440.7033333333,107394.8075,Secreted,∆eccCb1,4.42227300337499,5.03098328389042
MMAR_0074,rpsR1,15,9,6,2997.51015555556,19839.232,Secreted,∆eccCb1,3.4767606631618,4.29752485609347
MMAR_0075,rplI,15,9,6,11775.7638111111,42879.9325,Secreted,∆eccCb1,4.07098908634806,4.63225409303498
MMAR_0078,MMAR_0078,15,9,6,4453.06880444444,13299.2013833333,Secreted,∆eccCb1,3.64865940547474,4.12382556237874
MMAR_0084,MMAR_0084,9,6,3,16294.272599,969.035183333333,Secreted,∆eccCb1,4.21203497767066,2.98633954552355
MMAR_0094,mmpL5_3,6,3,3,119.636133333333,2141.56366666667,Secreted,∆eccCb1,2.07786236809103,3.33073099008958
MMAR_0099,MMAR_0099,1,0,1,NA,51.777542,Secreted,∆eccCb1,0,1.71414142962194
MMAR_0101,MMAR_0101,6,3,3,505.56738,2270.19583333333,Secreted,∆eccCb1,2.70377904481741,3.35606332224495
MMAR_0103,MMAR_0103,6,3,3,177.076968,1270.895,Secreted,∆eccCb1,2.24816207716415,3.10410967108564
MMAR_0106,MMAR_0106,11,5,6,126.0381492,316.4532275,Secreted,∆eccCb1,2.10050201717628,2.5003095293937
MMAR_0107,celA,15,9,6,1793.51282444444,1235.19516333333,Secreted,∆eccCb1,3.25370448642907,3.09173558242353
MMAR_0110,MMAR_0110,15,9,6,48626.2597777778,161980.933333333,Secreted,∆eccCb1,4.68687086590086,5.20946389703984
MMAR_0112,dhaA_1,15,9,6,2728.18811111111,8286.91471666667,Secreted,∆eccCb1,3.43587431202586,3.918392869401
MMAR_0119,MMAR_0119,9,6,3,27821.4089166667,20474.622,Secreted,∆eccCb1,4.444379119518,4.31121589261416
MMAR_0124,MMAR_0124,12,6,6,168.531251666667,678.756548333333,Secreted,∆eccCb1,2.22668044626315,2.83171403249203
MMAR_0126,MMAR_0126,15,9,6,1775.41538888889,4669.45016666667,Secreted,∆eccCb1,3.24929997992445,3.66926574488282
MMAR_0127,adhD_1,15,9,6,948.249415333333,4257.52004333333,Secreted,∆eccCb1,2.97692258359989,3.62915670118862
MMAR_0131,MMAR_0131,6,3,3,4051.33896666667,376.733043333333,Secreted,∆eccCb1,3.6075985811728,2.57603371393294
MMAR_0132,MMAR_0132,6,3,3,11844.9776666667,747.1852,Secreted,∆eccCb1,4.07353424621095,2.87342826094421
MMAR_0133,MMAR_0133,6,3,3,148.349143333333,193.22142,Secreted,∆eccCb1,2.17128504275478,2.28605526945087
MMAR_0142,ltp1_1,6,3,3,128.850453333333,449.6539,Secreted,∆eccCb1,2.11008595086379,2.6528783645484
MMAR_0149,fadE25_2,15,9,6,1297.67908111111,2911.76619,Secreted,∆eccCb1,3.11316730376264,3.46415649891382
MMAR_0150,MMAR_0150,6,3,3,284.66613,2643.73813333333,Secreted,∆eccCb1,2.45433579721668,3.42221843535196
MMAR_0151,eis1,9,3,6,64.318167,275.761958333333,Secreted,∆eccCb1,1.80833365898155,2.44053435456852
MMAR_0152,MMAR_0152,15,9,6,822.199198888889,3062.80515,Secreted,∆eccCb1,2.91497704928901,3.48611936867353
MMAR_0153,MMAR_0153,15,9,6,297.666295555556,583.467201666667,Secreted,∆eccCb1,2.47372966271891,2.76601644815255
MMAR_0154,MMAR_0154,15,9,6,12781.3570333333,42468.9535,Secreted,∆eccCb1,4.10657696656109,4.62807155944194
MMAR_0155,fadE36_1,15,9,6,425.408018888889,1483.055225,Secreted,∆eccCb1,2.62880567204149,3.1711573232915
MMAR_0156,fadE2_1,15,9,6,194.961182777778,937.530681666667,Secreted,∆eccCb1,2.28994815093407,2.97198548937095
MMAR_0158,icd2,15,9,6,10844.7648333333,22718.8188333333,Secreted,∆eccCb1,4.03522013885893,4.35638574836379
MMAR_0160,MMAR_0160,15,9,6,218.045227777778,340.620135,Secreted,∆eccCb1,2.33854658597639,2.5322703167356
MMAR_0174,pks16_1,6,3,3,74.5145666666667,159.454473333333,Secreted,∆eccCb1,1.8722411801921,2.20263670744057
MMAR_0187,esxB_1,15,9,6,2784608.17777778,68177.5496666667,Secreted,∆eccCb1,6.4447640942313,4.83364138842457
MMAR_0188,esxA_1,15,9,6,2511.96204444444,694.664285,Secreted,∆eccCb1,3.40001307295812,2.84177497092539
MMAR_0191,PPE51_2,3,3,0,105.639278,NA,Secreted,∆eccCb1,2.02382542432505,0
MMAR_0195,esxB_2,6,3,3,149.85872,71.3416843333333,Secreted,∆eccCb1,2.17568201880452,1.85334335854925
MMAR_0199,MMAR_0199,12,6,6,72248.2563333333,6173.49496833333,Secreted,∆eccCb1,4.85882737012825,3.79053109851226
MMAR_0204,MMAR_0204,9,6,3,217.800413333333,1073.17586666667,Secreted,∆eccCb1,2.33805869960807,3.03067089779477
MMAR_0207,sdaA,15,9,6,481.078796666667,1453.46995,Secreted,∆eccCb1,2.68221621598884,3.16240605730762
MMAR_0208,glyA2,15,9,6,842.797261111111,700.388621666667,Secreted,∆eccCb1,2.92572311558549,2.84533908203231
MMAR_0209,gcvH_1,6,3,3,248.884173333333,754.62134,Secreted,∆eccCb1,2.39599728048751,2.87772908248862
MMAR_0210,gcvT_1,15,9,6,1071.13862222222,2274.95275,Secreted,∆eccCb1,3.02984567902085,3.35697238093714
MMAR_0211,gcvB_1,12,6,6,218.998722833333,464.722045,Secreted,∆eccCb1,2.34044158210928,2.6671932745765
MMAR_0214,MMAR_0214,6,3,3,57.50346,627.93527,Secreted,∆eccCb1,1.75969397710178,2.79791487728703
MMAR_0219,MMAR_0219,3,0,3,NA,890.18291,Secreted,∆eccCb1,0,2.94947925231008
MMAR_0225,MMAR_0225,15,9,6,66774.5025555556,145344.646666667,Secreted,∆eccCb1,4.82461066137807,5.16239904046873
MMAR_0226,MMAR_0226,15,9,6,3956.40323,9407.97877166667,Secreted,∆eccCb1,3.5973005477481,3.97349632878325
MMAR_0234,MMAR_0234,9,6,3,238.738934333333,174.390245,Secreted,∆eccCb1,2.3779232509601,2.24152218781467
MMAR_0239,MMAR_0239,6,3,3,491.32792,10956.964,Secreted,∆eccCb1,2.69137144387716,4.03969023474138
MMAR_0241,adhD,6,3,3,170.561456666667,731.764983333333,Secreted,∆eccCb1,2.23188089642008,2.86437162364067
MMAR_0243,MMAR_0243,3,0,3,NA,303.8513,Secreted,∆eccCb1,0,2.48266109877653
MMAR_0245,echA8_7,15,9,6,624.348831111111,1226.28122666667,Secreted,∆eccCb1,2.79542730297992,3.0885900796307
MMAR_0251,mtn,9,6,3,285.887401666667,1754.5843,Secreted,∆eccCb1,2.45619501752238,3.24417423897793
MMAR_0253,MMAR_0253,9,6,3,303.81084,1573.7129,Secreted,∆eccCb1,2.48260326547211,3.19692550482191
MMAR_0254,MMAR_0254,6,3,3,146.249666666667,1321.94551333333,Secreted,∆eccCb1,2.16509488490812,3.12121355519022
MMAR_0258,fadD10,15,9,6,1133.20176888889,1747.40031666667,Secreted,∆eccCb1,3.05430724376764,3.24239241007929
MMAR_0260,MMAR_0260,3,3,0,111.991613333333,NA,Secreted,∆eccCb1,2.04918550106812,0
MMAR_0264,ctpA,6,3,3,1089.15558666667,242.786073333333,Secreted,∆eccCb1,3.03708992346957,2.38522377116783
MMAR_0267,MMAR_0267,6,3,3,365.843913333333,749.645686666667,Secreted,∆eccCb1,2.56329583392801,2.87485604647978
MMAR_0268,MMAR_0268,15,9,6,589.808561111111,1072.43467333333,Secreted,∆eccCb1,2.77071107207528,3.03037084689412
MMAR_0272,cyp226B1,6,3,3,132.03767,389.597413333333,Secreted,∆eccCb1,2.12069785195734,2.59061606479079
MMAR_0275,gcpE_2,9,6,3,393.985728333333,1803.85893333333,Secreted,∆eccCb1,2.59548049030695,3.25620257152611
MMAR_0276,dxs2,1,1,0,58.36051,NA,Secreted,∆eccCb1,1.76611907844448,0
MMAR_0282,idsB_3,6,3,3,557.983073333333,98.7885933333333,Secreted,∆eccCb1,2.7466210246196,1.99470680148663
MMAR_0288,MMAR_0288,1,0,1,NA,50.86389,Secreted,∆eccCb1,0,1.70640957135151
MMAR_0297,ctpI,3,3,0,238.741686666667,NA,Secreted,∆eccCb1,2.37792825775253,0
MMAR_0298,MMAR_0298,3,3,0,227.223733333333,NA,Secreted,∆eccCb1,2.35645369111201,0
MMAR_0316,MMAR_0316,15,9,6,21408.9444888889,59187.3773333333,Secreted,∆eccCb1,4.33059525608701,4.7722290962669
MMAR_0318,oxcA,15,9,6,1301.35034111111,4062.13531666667,Secreted,∆eccCb1,3.11439423025023,3.60875438640084
MMAR_0319,fadD7,15,9,6,5416.97337111111,611.919948333333,Secreted,∆eccCb1,3.73375670067712,2.78669461124515
MMAR_0321,fusA2,15,9,6,1403.14810333333,644.572588333333,Secreted,∆eccCb1,3.14710351355563,2.80927183237597
MMAR_0323,MMAR_0323,7,4,3,100.1649275,251.889981333333,Secreted,∆eccCb1,2.00071568101633,2.4012108942223
MMAR_0324,pepA,15,9,6,106915.865,78263.503,Secreted,∆eccCb1,5.02904215395273,4.89355928260789
MMAR_0325,treS,15,9,6,2054.05733222222,6337.09963333333,Secreted,∆eccCb1,3.31261256132565,3.80189053525633
MMAR_0326,MMAR_0326,15,9,6,9021.12125555556,30589.0046666667,Secreted,∆eccCb1,3.95526052033983,4.48556534573894
MMAR_0328,fbpC,15,9,6,135169.885555556,253283.208333333,Secreted,∆eccCb1,5.13087994608919,5.40360639875264
MMAR_0329,MMAR_0329,6,3,3,6720.47856666667,180.535996666667,Secreted,∆eccCb1,3.82740020035476,2.2565638078764
MMAR_0330,MMAR_0330,15,9,6,663.957663333333,364.315328333333,Secreted,∆eccCb1,2.82214038785159,2.56147744428758
MMAR_0331,fadE1,6,3,3,828.274666666667,4666.0779,Secreted,∆eccCb1,2.91817437837555,3.66895198504876
MMAR_0334,MMAR_0334,6,3,3,155.003506666667,287.833323333333,Secreted,∆eccCb1,2.19034152338807,2.45914107209541
MMAR_0336,desA3_2,2,0,2,NA,61.5753745,Secreted,∆eccCb1,0,1.78940706188814
MMAR_0338,MMAR_0338,6,3,3,73.3384893333333,204.526236666667,Secreted,∆eccCb1,1.86533195987936,2.31074902730026
MMAR_0339,MMAR_0339,12,6,6,313.994811666667,317.518571666667,Secreted,∆eccCb1,2.49692247201222,2.50176913226255
MMAR_0341,MMAR_0341,6,3,3,231.448173333333,572.981923333333,Secreted,∆eccCb1,2.36445375753454,2.75814092088463
MMAR_0343,MMAR_0343,12,6,6,681.40262,2134.30293333333,Secreted,∆eccCb1,2.83340379910177,3.32925606126368
MMAR_0344,MMAR_0344,15,9,6,13334.2062333333,45678.1096666667,Secreted,∆eccCb1,4.12496716785164,4.6597081228577
MMAR_0347,msrA,14,8,6,567.623836625,2134.84115,Secreted,∆eccCb1,2.75406062480048,3.32936556542895
MMAR_0349,MMAR_0349,3,0,3,NA,94.3708563333333,Secreted,∆eccCb1,0,1.97483789591061
MMAR_0350,MMAR_0350,15,9,6,4235.847142,2681.88721666667,Secreted,∆eccCb1,3.6269402794374,3.42844051020118
MMAR_0351,MMAR_0351,9,6,3,1245.36340333333,1063.51766333333,Secreted,∆eccCb1,3.09529609924959,3.0267447072378
MMAR_0354,MMAR_0354,6,3,3,1184.09766666667,39338.6313333333,Secreted,∆eccCb1,3.07338752531348,4.59481924590561
MMAR_0355,MMAR_0355,3,0,3,NA,119.927375,Secreted,∆eccCb1,0,2.07891832783988
MMAR_0356,MMAR_0356,3,0,3,NA,80.060195,Secreted,∆eccCb1,0,1.90341664356725
MMAR_0357,MMAR_0357,15,9,6,870.738934444444,2864.62832333333,Secreted,∆eccCb1,2.93988796404873,3.45706828159255
MMAR_0358,MMAR_0358,15,9,6,2296.32674555556,6409.3379,Secreted,∆eccCb1,3.36103368411596,3.80681316817278
MMAR_0359,MMAR_0359,15,9,6,237.899153333333,1294.85774166667,Secreted,∆eccCb1,2.37639289641593,3.11222205768147
MMAR_0360,MMAR_0360,15,9,6,9941.21097777778,25626.3308333333,Secreted,∆eccCb1,3.99743929072861,4.4086864285444
MMAR_0361,MMAR_0361,12,6,6,653.656326666667,2371.1621925,Secreted,∆eccCb1,2.81534946902391,3.37496126165368
MMAR_0368,MMAR_0368,9,6,3,5609.07091666667,239.336546666667,Secreted,∆eccCb1,3.74889093092096,2.37900902040105
MMAR_0369,MMAR_0369,15,9,6,987.467778222222,5782.01244,Secreted,∆eccCb1,2.99452293319106,3.76207902172024
MMAR_0370,MMAR_0370,15,9,6,1962.98975388889,453.924191666667,Secreted,∆eccCb1,3.29291803274258,2.65698332887057
MMAR_0373,ptpB,6,3,3,343.771493333333,467.310906666667,Secreted,∆eccCb1,2.53626986071251,2.66960591723205
MMAR_0374,fadE2,15,9,6,1309.39295888889,6751.244,Secreted,∆eccCb1,3.11707000122327,3.82938380432101
MMAR_0376,MMAR_0376,15,9,6,2006.15405333333,9457.15846666667,Secreted,∆eccCb1,3.3023642796035,3.97576066625129
MMAR_0377,pntAa,15,9,6,1593.90941333333,1064.44510833333,Secreted,∆eccCb1,3.20246363549962,3.02712327050652
MMAR_0379,pntB,3,3,0,527.311323333333,NA,Secreted,∆eccCb1,2.72206709734774,0
MMAR_0381,MMAR_0381,12,6,6,80.6938726666667,175.644688666667,Secreted,∆eccCb1,1.90684055866155,2.24463502166215
MMAR_0382,MMAR_0382,11,6,5,285.5899275,358.2610648,Secreted,∆eccCb1,2.45574288619829,2.55419961234887
MMAR_0384,PE4,6,3,3,119.069956666667,290.247326666667,Secreted,∆eccCb1,2.07580219557332,2.46276822834425
MMAR_0387,fabG3,3,0,3,NA,80.4948816666667,Secreted,∆eccCb1,0,1.90576826627355
MMAR_0388,MMAR_0388,15,9,6,875.894531666667,3073.69015,Secreted,∆eccCb1,2.94245181498912,3.48766008537335
MMAR_0390,MMAR_0390,15,9,6,154.470908777778,262.020409166667,Secreted,∆eccCb1,2.18884670158032,2.41833512049248
MMAR_0404,lipW,6,3,3,390.968433333333,1072.73451333333,Secreted,∆eccCb1,2.59214169401334,3.03049225350308
MMAR_0405,adhE,15,9,6,1253.92802444444,3416.28056666667,Secreted,∆eccCb1,3.09827260867674,3.53355353050394
MMAR_0407,MMAR_0407,15,9,6,1436.51537777778,5249.45365,Secreted,∆eccCb1,3.1573102794392,3.72011410547503
MMAR_0408,MMAR_0408,6,3,3,288.609846666667,224.41664,Secreted,∆eccCb1,2.46031114408266,2.35105505575815
MMAR_0409,fadD5,15,9,6,1331.88771666667,2029.54778333333,Secreted,∆eccCb1,3.12446761365747,3.30739928073027
MMAR_0413,mce1B,3,3,0,1217.34653333333,NA,Secreted,∆eccCb1,3.08541422333434,0
MMAR_0414,mce1C,3,3,0,121.92991,NA,Secreted,∆eccCb1,2.0861102532361,0
MMAR_0416,lprK,3,3,0,363.259423333333,NA,Secreted,∆eccCb1,2.56021688917401,0
MMAR_0422,lprO,15,9,6,1676.69787333333,6802.06465666667,Secreted,∆eccCb1,3.22445481349154,3.8326407557796
MMAR_0424,MMAR_0424,9,3,6,117.718491666667,356.00974,Secreted,∆eccCb1,2.07084468882479,2.55146187991217
MMAR_0426,sigG,6,3,3,597.458783333333,921.718246666667,Secreted,∆eccCb1,2.77630795014182,2.96459818502512
MMAR_0427,MMAR_0427,6,3,3,115.27958,176.883973333333,Secreted,∆eccCb1,2.06175238553655,2.24768848520928
MMAR_0431,MMAR_0431,12,9,3,196.049388333333,174.567906666667,Secreted,∆eccCb1,2.292365491656,2.24196440409634
MMAR_0432,ilvD,15,9,6,7413.42321111111,30927.7953333333,Secreted,∆eccCb1,3.8700187934583,4.49034896272244
MMAR_0435,MMAR_0435,15,9,6,8304.02915555556,6081.44706666667,Secreted,∆eccCb1,3.9192888653207,3.78400693096564
MMAR_0438,zmp1,15,9,6,1615.79534888889,9827.85621666667,Secreted,∆eccCb1,3.20838635366841,3.99245879404685
MMAR_0443,MMAR_0443,3,3,0,121.76031,NA,Secreted,∆eccCb1,2.08550574513542,0
MMAR_0446,mmpL3,9,6,3,375.957,362.102186666667,Secreted,∆eccCb1,2.57513817543129,2.55883114744722
MMAR_0448,MMAR_0448,9,6,3,471.02156,456.055753333333,Secreted,∆eccCb1,2.67304078648077,2.65901793890325
MMAR_0450,MMAR_0450,3,3,0,1064.45311333333,NA,Secreted,∆eccCb1,3.02712653654084,0
MMAR_0451,pckA,15,9,6,72996.2391777778,246756.813333333,Secreted,∆eccCb1,4.86330048551207,5.39226915304266
MMAR_0452,fadD4,15,9,6,156.145708222222,511.68813,Secreted,∆eccCb1,2.19353005183217,2.70900534244546
MMAR_0456,MMAR_0456,15,9,6,8152.08634444444,32023.8846666667,Secreted,∆eccCb1,3.91126877093914,4.50547401299761
MMAR_0460,MMAR_0460,5,3,2,160.704723333333,53.1108985,Secreted,∆eccCb1,2.20602864146438,1.72518364862854
MMAR_0465,echA1,15,9,6,1773.37786333333,5251.68273333333,Secreted,∆eccCb1,3.24880128296475,3.72029848144551
MMAR_0466,MMAR_0466,3,3,0,881.14902,NA,Secreted,∆eccCb1,2.9450493625446,0
MMAR_0467,MMAR_0467,15,9,6,1046.89573666667,3885.76781666667,Secreted,∆eccCb1,3.01990343120598,3.58947684697066
MMAR_0471,MMAR_0471,2,0,2,NA,63.039445,Secreted,∆eccCb1,0,1.79961238096471
MMAR_0472,MMAR_0472,9,6,3,428.051563333333,332.408766666667,Secreted,∆eccCb1,2.63149608752323,2.52167246897715
MMAR_0476,MMAR_0476,9,6,3,1395.35319166667,529.313713333333,Secreted,∆eccCb1,3.14468415010232,2.72371314573479
MMAR_0487,php,15,9,6,401.095846666667,1522.57925,Secreted,∆eccCb1,2.6032481649009,3.18257990684971
MMAR_0488,fadE4,15,9,6,15568.6013555556,48846.7723333333,Secreted,∆eccCb1,4.1922495983839,4.68883587196198
MMAR_0490,gabD1,15,9,6,19421.6351111111,70592.2931666667,Secreted,∆eccCb1,4.28828579044528,4.84875729003357
MMAR_0495,MMAR_0495,15,9,6,291.485445555556,763.577138333333,Secreted,∆eccCb1,2.4646168744545,2.88285291704443
MMAR_0499,lpqI,15,9,6,1647.14814,5151.99398333333,Secreted,∆eccCb1,3.21673266018453,3.71197534716879
MMAR_0503,fabG4,15,9,6,4057.53532222222,24845.8813333333,Secreted,∆eccCb1,3.6082623091956,4.39525440665268
MMAR_0504,fadA2,15,9,6,5033.18486222222,16256.5916666667,Secreted,∆eccCb1,3.70184288175192,4.21102949725321
MMAR_0505,fadE5,15,9,6,6429.93873888889,9923.44083333333,Secreted,∆eccCb1,3.80820683521205,3.9966622846369
MMAR_0506,MMAR_0506,6,3,3,105.369628,138.16258,Secreted,∆eccCb1,2.02271544680786,2.14039043449934
MMAR_0510,sdhB_1,9,6,3,117.359999333333,242.907023333333,Secreted,∆eccCb1,2.0695200983682,2.38544007203368
MMAR_0511,sdhA_1,15,9,6,5918.15283333333,21370.3103333333,Secreted,∆eccCb1,3.77218617640695,4.32981082890603
MMAR_0523,MMAR_0523,9,6,3,310.339678333333,896.847233333333,Secreted,∆eccCb1,2.49183730565046,2.95271847273126
MMAR_0524,MMAR_0524,3,3,0,199.905453333333,NA,Secreted,∆eccCb1,2.30082464164323,0
MMAR_0528,fadD2,15,9,6,5511.10807555556,4647.44626666667,Secreted,∆eccCb1,3.7412389278386,3.66721437720132
MMAR_0530,fadE6,15,9,6,3391.91406666667,4530.3272,Secreted,∆eccCb1,3.530444840977,3.65612956978828
MMAR_0531,serA3,3,0,3,NA,183.876146666667,Secreted,∆eccCb1,0,2.26452539403989
MMAR_0532,MMAR_0532,6,3,3,150.743803333333,483.534193333333,Secreted,∆eccCb1,2.17823946851731,2.68442719083042
MMAR_0536,MMAR_0536,9,6,3,228.60206,332.80772,Secreted,∆eccCb1,2.35908013963145,2.52219339188105
MMAR_0539,MMAR_0539,15,9,6,1555.13503777778,4689.87523333333,Secreted,∆eccCb1,3.19176810629883,3.67116128915525
MMAR_0541,eccA3,9,6,3,1235.69878333333,11777.2016666667,Secreted,∆eccCb1,3.09191261907077,4.07104211175031
MMAR_0542,eccB3,3,3,0,166.769596666667,NA,Secreted,∆eccCb1,2.22211687841552,0
MMAR_0543,eccC3,2,0,2,NA,531.709295,Secreted,∆eccCb1,0,2.72567425243742
MMAR_0544,PE5,6,3,3,335.106606666667,1158.77666666667,Secreted,∆eccCb1,2.52518299008712,3.06399974158874
MMAR_0546,esxG,15,9,6,938.660739444445,938.536168333333,Secreted,∆eccCb1,2.9725086533839,2.97245101367012
MMAR_0547,esxH,9,6,3,230.733221,216.29189,Secreted,∆eccCb1,2.3631101288006,2.33504023560054
MMAR_0548,espG3,15,9,6,1770.74003777778,2193.78563333333,Secreted,∆eccCb1,3.24815480712704,3.34119418804778
MMAR_0549,eccD3,9,6,3,188.827288333333,122.72653,Secreted,∆eccCb1,2.27606475646741,2.08893845504296
MMAR_0550,mycP3,15,9,6,994.233027777778,1405.14963333333,Secreted,∆eccCb1,2.99748818602425,3.14772257439822
MMAR_0551,eccE3,3,3,0,118.734088,NA,Secreted,∆eccCb1,2.07457542076574,0
MMAR_0552,MMAR_0552,3,3,0,333.007063333333,NA,Secreted,∆eccCb1,2.52245344532061,0
MMAR_0553,tam,9,6,3,223.137231666667,124.484414333333,Secreted,∆eccCb1,2.34857204073801,2.0951149804057
MMAR_0554,MMAR_0554,14,8,6,253.396336875,510.795738333333,Secreted,∆eccCb1,2.40380033238455,2.70824726520446
MMAR_0557,MMAR_0557,15,9,6,215.865413333333,547.603508333333,Secreted,∆eccCb1,2.33418306381752,2.73846622186686
MMAR_0559,MMAR_0559,15,9,6,805.880956666667,3619.00773833333,Secreted,∆eccCb1,2.90627089331738,3.55858951173817
MMAR_0560,MMAR_0560,15,9,6,1902.70186666667,7821.56138333333,Secreted,∆eccCb1,3.27937074424871,3.89329345798034
MMAR_0561,MMAR_0561,15,9,6,294.081164444444,443.27767,Secreted,∆eccCb1,2.46846720934284,2.64667585437617
MMAR_0566,MMAR_0566,10,4,6,107.968671,139.363388333333,Secreted,∆eccCb1,2.03329775561988,2.14414869676649
MMAR_0567,MMAR_0567,15,9,6,12398.5532911111,49555.67405,Secreted,∆eccCb1,4.09337101303788,4.695093387732
MMAR_0574,MMAR_0574,6,3,3,356.663743333333,529.59513,Secreted,∆eccCb1,2.55225896335974,2.72394398280655
MMAR_0600,dcd,15,9,6,1296.95297555556,2834.53788333333,Secreted,∆eccCb1,3.11292422987979,3.45248226567085
MMAR_0604,MMAR_0604,15,9,6,288.290696666667,866.756356666667,Secreted,∆eccCb1,2.45983062764134,2.93789703539349
MMAR_0605,MMAR_0605,15,9,6,1731.97133333333,11104.0351666667,Secreted,∆eccCb1,3.23854069952995,4.04548082853091
MMAR_0606,rmlA,9,3,6,78.98722,288.038975,Secreted,∆eccCb1,1.89755682885414,2.45945125679463
MMAR_0607,MMAR_0607,3,3,0,12503.68,NA,Secreted,∆eccCb1,4.09703785048678,0
MMAR_0609,MMAR_0609,6,3,3,241.906303333333,744.520446666667,Secreted,∆eccCb1,2.38364718488614,2.87187662922395
MMAR_0610,aspC,15,9,6,496.548381111111,1261.692455,Secreted,∆eccCb1,2.69596157030555,3.10095350595902
MMAR_0611,MMAR_0611,9,6,3,1029.36113833333,640.80971,Secreted,∆eccCb1,3.01256776822154,2.80672908386187
MMAR_0614,iniB,15,9,6,1968.79745666667,1326.98128166667,Secreted,∆eccCb1,3.2942010396645,3.12286479677083
MMAR_0615,iniA,12,6,6,5830.0215,534.590345,Secreted,∆eccCb1,3.76567015635664,2.72802111089061
MMAR_0616,iniC,6,3,3,647.584753333333,1359.34363333333,Secreted,∆eccCb1,2.81129661521854,3.13332925746514
MMAR_0623,coxL_3,3,3,0,393.171966666667,NA,Secreted,∆eccCb1,2.5945825448773,0
MMAR_0631,kdpA,9,6,3,332.214158333333,116.34222,Secreted,∆eccCb1,2.52141813731168,2.06573734659103
MMAR_0632,kdpB,6,3,3,215.17836,674.77602,Secreted,∆eccCb1,2.33279859317861,2.82915964035644
MMAR_0637,dnaK,15,9,6,116629.856888889,325614.95,Secreted,∆eccCb1,5.06680974272346,5.51270433649189
MMAR_0638,grpE,9,6,3,898.970271666667,2508.87903333333,Secreted,∆eccCb1,2.95374533014858,3.39947972212676
MMAR_0640,hspR,7,1,6,73.95623,294.531535,Secreted,∆eccCb1,1.86897476441348,2.46913180079811
